record_id,redcap_event_name,information_timestamp,consent,subject_id_quest,information_complete,nfc_timestamp,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,nfc_07,nfc_08,nfc_09,nfc_10,nfc_11,nfc_12,nfc_13,nfc_14,nfc_15,nfc_16,nfc_complete,bis_11_timestamp,bis11_01,bis11_02,bis11_03,bis11_04,bis11_05,bis11_06,bis11_07,bis11_08,bis11_09,bis11_10,bis11_11,bis11_12,bis11_13,bis11_14,bis11_15,bis11_16,bis11_17,bis11_18,bis11_19,bis11_20,bis11_21,bis11_22,bis11_23,bis11_24,bis11_25,bis11_26,bis11_27,bis11_28,bis11_29,bis11_30,bis_11_complete,bscs_timestamp,bscs_1,bscs_2,bscs_3,bscs_4,bscs_5,bscs_6,bscs_7,bscs_8,bscs_9,bscs_10,bscs_11,bscs_12,bscs_13,bscs_complete,srs_timestamp,srs_01,srs_02,srs_03,srs_04,srs_05,srs_06,srs_07,srs_08,srs_09,srs_10,srs_complete,erq_timestamp,erq_01,erq_02,erq_03,erq_04,erq_05,erq_06,erq_07,erq_08,erq_09,erq_10,erq_complete,who5_timestamp,who5_1,who5_2,who5_3,who5_4,who5_5,who5_complete,cdrisc_timestamp,risc_01,risc_04,risc_06,risc_07,risc_08,risc_11,risc_14,risc_16,risc_17,risc_19,cdrisc_complete,acs_timestamp,acs_01,acs_02,acs_03,acs_04,acs_05,acs_06,acs_07,acs_08,acs_09,acs_10,acs_11,acs_12,acs_13,acs_14,acs_15,acs_16,acs_17,acs_18,acs_19,acs_20,acs_complete,flexer_timestamp,flexer_01,flexer_02,flexer_03,flexer_04,flexer_05,flexer_06,flexer_07,flexer_08,flexer_09,flexer_10,flexer_complete,lay_beliefs_timestamp,layb_01,layb_02,layb_03,layb_04,lay_beliefs_complete,appointment_timestamp,appointment_complete,subject_id_lab,vl,date,preparatory_coged_complete,general_questions_timestamp,age,gender,edu,state,general_questions_complete,inclusion,inclusion_0___1,inclusion_0___2,inclusion_0_2,researcher_questions_complete,nasatlx_aversion_timestamp,nasa_tlx_1,nasa_tlx_2,nasa_tlx_3,nasa_tlx_4,nasa_tlx_5,nasa_tlx_6,avers,nasatlx_aversion_complete,nasatlx_aversion2_timestamp,nasa_tlx_1b,nasa_tlx_2b,nasa_tlx_3b,nasa_tlx_4b,nasa_tlx_5b,nasa_tlx_6b,aversb,nasatlx_aversion2_complete,nasatlx_aversion3_timestamp,nasa_tlx_1c,nasa_tlx_2c,nasa_tlx_3c,nasa_tlx_4c,nasa_tlx_5c,nasa_tlx_6c,aversc,nasatlx_aversion3_complete,nasatlx_aversion4_timestamp,nasa_tlx_1d,nasa_tlx_2d,nasa_tlx_3d,nasa_tlx_4d,nasa_tlx_5d,nasa_tlx_6d,aversd,nasatlx_aversion4_complete,followup_coged_timestamp,followup_adherence,followup_motivation,followup_motivation_other,followup_coged_complete,t1_psychopy_ed_csv,t1_psychopy_nback_csv,t1_psychopy_randch_log,t1_session_notes,files_coged_complete,record_id_2,vl_er,date_er,preparatory_ered_complete,emg_eeg,emg_vhdr,emg_vmrk,er_psychopy_csv,ed_psychopy_csv,t2_session_notes,files_ered_complete,followup_ered_timestamp,nachb_01,nachb_01_inhalt,nachb_02,nachb_02_inhalt,nachb_03,nachb_07,nachb_07_inhalt,nachb_08,nachb_08_inhalt,nachb_08_haeufig,nachb_08_zurueck,followup_ered_complete
3,t1_questionnaires_arm_1,17.08.2022 20:54,1,B03I09,2,17.08.2022 20:57,1,2,2,3,3,-2,-2,-3,-2,-2,-2,-2,0,1,-3,-2,2,17.08.2022 21:00,3,2,2,4,1,2,3,4,4,4,1,4,1,1,3,1,1,2,2,4,1,1,2,1,1,2,2,1,4,4,2,17.08.2022 21:01,5,3,3,1,2,4,3,4,3,1,4,2,2,2,17.08.2022 21:04,4,3,3,4,2,1,2,3,1,3,2,17.08.2022 21:08,5,7,5,4,6,6,5,5,5,5,2,17.08.2022 21:39,4,4,3,0,4,2,17.08.2022 21:40,5,2,2,4,7,6,5,4,5,5,2,17.08.2022 22:17,3,2,2,2,3,2,1,2,3,3,2,2,3,2,2,1,3,3,3,2,2,18.08.2022 11:01,2,2,3,3,3,2,2,4,3,2,2,18.08.2022 11:02,3,3,3,5,2,18.08.2022 11:03,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B03I09,JZ,22.09.2022,2,22.09.2022 12:00,21,1,3,0,2,1,0,0,,2,22.09.2022 12:12,4,1,4,20,6,2,1,2,22.09.2022 12:22,9,3,7,18,9,4,1,2,22.09.2022 12:32,14,3,13,11,12,6,1,2,22.09.2022 12:42,14,2,11,17,10,2,1,2,22.09.2022 12:55,1,2,,2,B03I09_t1_ED.csv,B03I09_t1_nback.csv,B03I09_t1_randomchoice.csv,"Das waren die krassesten 4-back Trefferquoten, die ich je gesehen habe",2,,,,,,,,,,,,,,,,,,,,,,,,
3,l2_ered_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B03I09,JZ,29.09.2022,2,B03I09.eeg,B03I09.vhdr,B03I09.vmrk,B03I09_t2_ER.csv,B03I09_t2_ED.csv,,2,29.09.2022 12:49,0,,1,,Distanzieren war für mich ähnlich erfolgreich wie unterdrücken jedoch hatte ich das Gefühl das es mich weniger Anstrengung gekostet hat. Ablenken fand ich schwerer da die Bilder doch sehr einnehmend waren und es mir deshalb schwerer fiel mich auf etwas Neutrales oder Alltägliches zu konzentrieren.,0,,0,,,,2
3_final,t1_questionnaires_arm_1,,1,B03I09,2,,1,2,2,3,3,-2,-2,-3,-2,-2,-2,-2,0,1,-3,-2,2,,3,2,2,4,1,2,3,4,4,4,1,4,1,1,3,1,1,2,2,4,1,1,2,1,1,2,2,1,4,4,2,,5,3,3,1,2,4,3,4,3,1,4,2,2,2,,4,3,3,4,2,1,2,3,1,3,2,,5,7,5,4,6,6,5,5,5,5,2,,4,4,3,0,4,2,,5,2,2,4,7,6,5,4,5,5,2,,3,2,2,2,3,2,1,2,3,3,2,2,3,2,2,1,3,3,3,2,2,,2,2,3,3,3,2,2,4,3,2,2,,3,3,3,5,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_final,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B03I09,JZ,,2,,21,1,3,0,2,1,0,0,,2,,4,1,4,20,6,2,1,2,,9,3,7,18,9,4,1,2,,14,3,13,11,12,6,1,2,,14,2,11,17,10,2,1,2,,1,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
3_final,l2_ered_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B03I09,JZ,,2,,,,,,,2,,0,,1,,"Distancing was similarly successful as suppression	 but I felt like it cost me less effort. Distraction was more difficult because the pictures were very captivating and so it was hard for me to concentrate on something neutral or mundane.",0,,0,,,,2
4,t1_questionnaires_arm_1,18.08.2022 09:00,1,D06A02,2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,0,0,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,31.08.2022 16:58,4,5,4,5,4,4,5,2,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
4_final,t1_questionnaires_arm_1,,1,D06A02,2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_final,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,0,0,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,4,5,4,5,4,4,5,2,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
5,t1_questionnaires_arm_1,22.08.2022 08:53,1,L18G09,2,22.08.2022 09:40,0,-1,1,-2,1,0,-1,1,-3,-1,0,-2,-2,-2,1,2,2,22.08.2022 09:42,3,2,1,2,2,1,3,3,3,3,2,2,1,2,2,2,1,2,3,2,1,1,2,2,1,2,2,2,2,3,2,22.08.2022 09:44,3,4,5,1,4,4,3,4,4,2,4,5,3,2,22.08.2022 09:45,3,3,3,3,3,2,4,2,2,3,2,22.08.2022 09:48,7,3,7,1,5,4,7,7,5,7,2,22.08.2022 09:48,4,4,4,4,3,2,22.08.2022 09:49,7,5,4,7,6,7,4,3,5,7,2,22.08.2022 09:51,4,2,2,1,2,4,2,2,1,2,3,2,3,1,4,2,2,2,3,2,2,22.08.2022 09:53,2,2,2,2,2,2,3,3,3,1,2,22.08.2022 09:54,3,5,2,4,2,22.08.2022 09:58,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L18G09,JZ,23.08.2022,2,23.08.2022 14:37,24,2,3,0,2,1,0,0,,2,23.08.2022 14:50,3,1,1,20,2,1,3,2,23.08.2022 15:00,6,1,2,17,14,1,1,2,23.08.2022 15:09,13,1,6,11,19,1,1,2,23.08.2022 15:18,20,1,6,10,20,1,1,2,23.08.2022 15:31,1,5,Ich wollte dass meine Anstrengung möglichst zur.Bezahlung passt,2,L18G09_t1_ED.csv,L18G09_t1_nback.csv,L18G09_t1_randomchoice.csv,,2,,,,,,,,,,,,,,,,,,,,,,,,
5,l2_ered_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L18G09,JZ,30.08.2022,2,L18G09.eeg,L18G09.vhdr,L18G09.vmrk,L18G09_t2_ER.csv,L18G09_t2_ED.csv,,2,30.08.2022 15:20,0,,1,,Fiel mir am leichtesten.,0,,0,,,,2
5_final,t1_questionnaires_arm_1,,1,L18G09,2,,0,-1,1,-2,1,0,-1,1,-3,-1,0,-2,-2,-2,1,2,2,,3,2,1,2,2,1,3,3,3,3,2,2,1,2,2,2,1,2,3,2,1,1,2,2,1,2,2,2,2,3,2,,3,4,5,1,4,4,3,4,4,2,4,5,3,2,,3,3,3,3,3,2,4,2,2,3,2,,7,3,7,1,5,4,7,7,5,7,2,,4,4,4,4,3,2,,7,5,4,7,6,7,4,3,5,7,2,,4,2,2,1,2,4,2,2,1,2,3,2,3,1,4,2,2,2,3,2,2,,2,2,2,2,2,2,3,3,3,1,2,,3,5,2,4,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5_final,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L18G09,JZ,,2,,24,2,3,0,2,1,0,0,,2,,3,1,1,20,2,1,3,2,,6,1,2,17,14,1,1,2,,13,1,6,11,19,1,1,2,,20,1,6,10,20,1,1,2,,1,5,I wanted my effort to fit to the reward.,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
5_final,l2_ered_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L18G09,JZ,,2,,,,,,,2,,0,,1,,Found it easiest.,0,,0,,,,2
6,t1_questionnaires_arm_1,22.08.2022 12:48,1,D28L04,2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,0,0,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,01.09.2022 09:09,3,3,3,3,3,3,3,2,01.09.2022 09:13,0,4,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
6_final,t1_questionnaires_arm_1,,1,D28L04,2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
