record_id,redcap_event_name,consent,subject_id_quest,information_complete,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,nfc_07,nfc_08,nfc_09,nfc_10,nfc_11,nfc_12,nfc_13,nfc_14,nfc_15,nfc_16,nfc_complete,bis11_01,bis11_02,bis11_03,bis11_04,bis11_05,bis11_06,bis11_07,bis11_08,bis11_09,bis11_10,bis11_11,bis11_12,bis11_13,bis11_14,bis11_15,bis11_16,bis11_17,bis11_18,bis11_19,bis11_20,bis11_21,bis11_22,bis11_23,bis11_24,bis11_25,bis11_26,bis11_27,bis11_28,bis11_29,bis11_30,bis_11_complete,bscs_1,bscs_2,bscs_3,bscs_4,bscs_5,bscs_6,bscs_7,bscs_8,bscs_9,bscs_10,bscs_11,bscs_12,bscs_13,bscs_complete,srs_01,srs_02,srs_03,srs_04,srs_05,srs_06,srs_07,srs_08,srs_09,srs_10,srs_complete,erq_01,erq_02,erq_03,erq_04,erq_05,erq_06,erq_07,erq_08,erq_09,erq_10,erq_complete,who5_1,who5_2,who5_3,who5_4,who5_5,who5_complete,risc_01,risc_04,risc_06,risc_07,risc_08,risc_11,risc_14,risc_16,risc_17,risc_19,cdrisc_complete,acs_01,acs_02,acs_03,acs_04,acs_05,acs_06,acs_07,acs_08,acs_09,acs_10,acs_11,acs_12,acs_13,acs_14,acs_15,acs_16,acs_17,acs_18,acs_19,acs_20,acs_complete,flexer_01,flexer_02,flexer_03,flexer_04,flexer_05,flexer_06,flexer_07,flexer_08,flexer_09,flexer_10,flexer_complete,layb_01,layb_02,layb_03,layb_04,lay_beliefs_complete,appointment_complete,subject_id_lab,vl,date,preparatory_coged_complete,age,gender,edu,state,general_questions_complete,inclusion,inclusion_0___1,inclusion_0___2,inclusion_0_2,researcher_questions_complete,nasa_tlx_1,nasa_tlx_2,nasa_tlx_3,nasa_tlx_4,nasa_tlx_5,nasa_tlx_6,avers,nasatlx_aversion_complete,nasa_tlx_1b,nasa_tlx_2b,nasa_tlx_3b,nasa_tlx_4b,nasa_tlx_5b,nasa_tlx_6b,aversb,nasatlx_aversion2_complete,nasa_tlx_1c,nasa_tlx_2c,nasa_tlx_3c,nasa_tlx_4c,nasa_tlx_5c,nasa_tlx_6c,aversc,nasatlx_aversion3_complete,nasa_tlx_1d,nasa_tlx_2d,nasa_tlx_3d,nasa_tlx_4d,nasa_tlx_5d,nasa_tlx_6d,aversd,nasatlx_aversion4_complete,followup_adherence,followup_motivation,followup_motivation_other,followup_coged_complete,t1_psychopy_ed_csv,t1_psychopy_nback_csv,t1_psychopy_randch_log,t1_session_notes,files_coged_complete,record_id_2,vl_er,date_er,preparatory_ered_complete,emg_eeg,emg_vhdr,emg_vmrk,er_psychopy_csv,ed_psychopy_csv,t2_session_notes,files_ered_complete,nachb_01,nachb_01_inhalt,nachb_02,nachb_02_inhalt,nachb_03,nachb_07,nachb_07_inhalt,nachb_08,nachb_08_inhalt,nachb_08_haeufig,nachb_08_zurueck,followup_ered_complete
5_final,t1_questionnaires_arm_1,1,L18G09,2,0,-1,1,-2,1,0,-1,1,-3,-1,0,-2,-2,-2,1,2,2,3,2,1,2,2,1,3,3,3,3,2,2,1,2,2,2,1,2,3,2,1,1,2,2,1,2,2,2,2,3,2,3,4,5,1,4,4,3,4,4,2,4,5,3,2,3,3,3,3,3,2,4,2,2,3,2,7,3,7,1,5,4,7,7,5,7,2,4,4,4,4,3,2,7,5,4,7,6,7,4,3,5,7,2,4,2,2,1,2,4,2,2,1,2,3,2,3,1,4,2,2,2,3,2,2,2,2,2,2,2,2,3,3,3,1,2,3,5,2,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5_final,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L18G09,JZ,23.08.2022,2,24,2,3,0,2,1,0,0,,2,3,1,1,20,2,1,3,2,6,1,2,17,14,1,1,2,13,1,6,11,19,1,1,2,20,1,6,10,20,1,1,2,1,5,I wanted my effort to fit to the reward.,2,L18G09_t1_ED.csv,L18G09_t1_nback.csv,L18G09_t1_randomchoice.csv,,2,,,,,,,,,,,,,,,,,,,,,,,
5_final,l2_ered_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L18G09,JZ,30.08.2022,2,L18G09.eeg,L18G09.vhdr,L18G09.vmrk,L18G09_t2_ER.csv,L18G09_t2_ED.csv,,2,0,,1,,Found it easiest.,0,,0,,,,2
6_final,t1_questionnaires_arm_1,1,D28L04,2,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_final,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,3,3,3,3,3,3,3,2,0,4,,2,,,,[Edit: This is a dummy data set where we tried the split of the NASA-TLX questionnaires],0,,,,,,,,,,,,,,,,,,,,,,,
7_final,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,0,7,7,7,7,7,7,7,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,4,4,4,4,4,4,4,2,,,,0,,,,[Edit: This is a dummy data set where we tried the split of the NASA-TLX questionnaires],0,,,,,,,,,,,,,,,,,,,,,,,
8_final,t1_questionnaires_arm_1,1,G27R09,2,2,1,2,-2,1,-2,-1,0,-2,0,-2,-2,0,-2,-2,-2,2,3,2,2,3,2,2,3,2,3,3,1,3,3,2,3,2,2,2,2,2,2,3,2,2,1,2,2,2,2,3,2,2,2,4,1,4,2,4,4,4,2,4,4,4,2,3,3,3,3,2,3,2,3,2,3,2,1,6,5,2,5,6,5,5,7,5,2,4,4,4,4,4,2,6,3,5,2,3,4,3,2,3,2,2,1,2,2,3,4,2,2,3,3,3,2,1,3,3,2,2,3,2,2,2,2,2,3,3,2,2,2,3,4,4,1,2,2,5,2,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_final,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G27R09,JZ,31.08.2022,2,29,2,3,0,2,1,0,0,,2,4,1,1,15,3,4,11,2,17,3,12,11,15,13,8,2,19,3,4,7,17,14,6,2,18,3,4,9,17,4,5,2,1,2,,2,G27R09_t1_ED.csv,G27R09_t1_nback.csv,G27R09_t1_randomchoice.csv,,2,,,,,,,,,,,,,,,,,,,,,,,
8_final,l2_ered_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G27R09,JZ,07.09.2022,2,G27R09.eeg,G27R09.vhdr,G27R09.vmrk,G27R09_t2_ER.csv,G27R09_t2_ED.csv,,2,1,Noticed the smallest facial movements.,1,,Found it easiest.,0,,0,,,,2
9_final,t1_questionnaires_arm_1,1,G26N02,2,-1,1,-1,-1,3,1,-1,-1,-1,2,-1,1,-2,-3,1,1,2,2,1,2,2,1,2,3,2,2,3,2,2,3,2,1,1,2,1,2,1,1,3,2,1,2,2,1,2,2,4,2,3,4,3,2,3,4,5,2,3,3,3,3,2,2,3,3,2,3,2,3,2,3,2,3,2,5,2,5,1,2,3,5,2,5,5,2,4,4,2,1,1,2,6,4,3,2,5,6,3,5,4,4,2,2,2,3,1,1,4,2,3,2,3,2,4,2,2,4,3,3,2,2,3,2,3,3,3,2,2,2,3,3,2,2,2,3,3,2,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_final,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G26N02,JZ,02.09.2022,2,27,2,3,0,2,1,0,0,,2,7,3,5,18,5,3,1,2,14,6,4,13,8,7,3,2,15,6,5,9,16,12,5,2,18,6,5,7,17,17,7,2,1,3,,2,G26N02_t1_ED.csv,G26N02_t1_nback.csv,G26N02_t1_randomchoice.csv,Participant is pregnant,2,,,,,,,,,,,,,,,,,,,,,,,
9_final,l2_ered_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G26N02,JZ,09.09.2022,2,G26N02.eeg,G26N02.vhdr,G26N02.vmrk,G26N02_t2_ER.csv,G26N02_t2_ED.csv,,2,0,,1,,The least effort compared to the other strategies.,0,,0,,,,2
10_final,t1_questionnaires_arm_1,1,H10K03,2,3,2,-1,-2,3,0,-1,-1,-1,-1,-1,-2,1,-1,-1,-1,2,3,2,3,2,2,4,3,3,3,3,2,4,3,2,4,1,2,2,3,3,1,2,2,2,1,3,2,2,2,3,2,3,4,4,4,4,3,4,3,3,4,4,4,2,2,3,2,3,3,2,2,3,2,2,3,2,6,5,5,3,5,5,5,6,6,5,2,4,2,4,2,5,2,5,4,3,4,5,5,5,3,5,5,2,2,3,2,2,2,2,2,3,2,3,1,3,2,2,2,2,3,2,3,2,2,2,4,3,2,2,2,3,2,2,2,2,2,3,3,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_final,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H10K03,JZ,21.09.2022,2,20,2,3,0,2,1,0,0,,2,4,2,3,15,6,3,9,2,7,2,4,16,8,3,4,2,9,2,7,14,9,4,6,2,12,2,7,11,12,6,9,2,1,2,,2,H10K03_t1_ED.csv,H10K03_t1_nback.csv,H10K03_t1_randomchoice.csv,,2,,,,,,,,,,,,,,,,,,,,,,,
10_final,l2_ered_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H10K03,JZ,28.09.2022,2,H10K03.eeg,H10K03.vhdr,H10K03.vmrk,H10K03_t2_ER.csv,H10K03_t2_ED.csv,,2,0,,1,,I did not want to concentrate on the pictures.,0,,0,,,,2
11_final,t1_questionnaires_arm_1,1,L15G05,2,2,0,0,-1,2,0,0,-1,-1,2,0,-1,1,0,-1,-1,2,3,1,1,1,2,2,1,4,3,4,3,3,2,2,2,1,1,2,2,3,1,1,3,2,1,3,2,2,2,3,2,3,3,4,2,2,4,3,3,4,3,3,3,2,2,3,3,2,3,3,2,3,2,3,3,2,5,6,5,2,5,6,4,4,6,4,2,2,2,2,2,1,2,4,3,4,5,4,5,5,3,2,2,2,3,2,2,2,2,3,2,3,2,2,2,4,3,1,4,3,2,2,2,2,2,3,3,3,3,3,3,2,4,3,2,2,3,2,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11_final,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L15G05,JZ,01.09.2022,2,20,2,3,0,2,1,0,0,,2,10,2,1,11,5,2,1,2,14,2,7,9,9,3,2,2,18,2,15,10,18,6,3,2,20,2,17,3,20,12,8,2,1,5,I wanted to do the safe version.,2,L15G05_t1_ED.csv,L15G05_t1_nback.csv,L15G05_t1_randomchoice.csv,,2,,,,,,,,,,,,,,,,,,,,,,,
11_final,l2_ered_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L15G05,JZ,08.09.2022,2,L15G05.eeg,L15G05.vhdr,L15G05.vmrk,L15G05_t2_ER.csv,L15G05_t2_ED.csv,,2,0,,1,,It was the most comfortable strategy for me to not show emotions to an outsider.,0,,0,,,,2
12_final,t1_questionnaires_arm_1,1,W08E03,2,2,1,3,-2,3,-1,-1,-2,-2,-2,-3,-3,1,2,-3,-2,2,4,1,1,3,1,2,4,3,4,3,1,4,4,2,3,1,2,1,2,4,1,2,2,1,1,2,1,2,2,4,2,4,2,5,1,2,4,1,5,4,1,5,3,1,2,4,3,3,4,2,4,2,4,1,4,2,5,1,7,1,6,2,7,5,2,4,2,4,4,4,4,4,2,6,7,7,7,6,7,6,7,7,7,2,2,1,1,2,3,2,2,2,3,2,2,1,4,3,2,1,3,3,2,2,2,1,2,2,1,1,1,3,3,1,1,2,3,3,3,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12_final,l1_coged_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W08E03,JZ,02.09.2022,2,26,2,3,0,2,1,0,0,,2,7,2,5,18,7,2,6,2,7,2,4,13,9,3,5,2,17,5,5,6,12,7,8,2,18,3,6,3,17,7,8,2,1,2,,2,W08E03_t1_ED.csv,W08E03_t1_nback.csv,W08E03_t1_randomchoice.csv,,2,,,,,,,,,,,,,,,,,,,,,,,
12_final,l2_ered_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W08E03,JZ,09.09.2022,2,W08E03.eeg,W08E03.vhdr,W08E03.vmrk,W08E03_t2_ER.csv,W08E03_t2_ED.csv,,2,0,,1,,The strategy viewing was cognitively easier for me than the others and at the same time the most successful.,0,,1,I know both paradigms from my courses but I have never participated in an emotion regulation experiment.,0,0,2
13_final,t1_questionnaires_arm_1,1,L15N08,2,3,3,2,-3,2,-2,-3,-3,-3,-3,2,-3,1,0,-3,-2,2,2,2,3,1,1,2,3,3,4,3,1,3,3,2,3,1,1,1,2,3,1,3,3,1,2,2,1,1,3,3,2,3,3,5,2,2,3,3,1,3,1,4,2,1,2,4,3,3,4,1,3,2,3,1,3,2,5,6,5,2,4,6,2,6,4,6,2,2,2,2,1,2,2,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
